city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
7647007,Bariloche,AR,-41.15,-71.31,01/24/20,            69.8,28,75,19.46
5948844,Englehart,CA,47.82,-79.87,01/24/20,            28.4,86,90,8.05
2152659,Port Macquarie,AU,-31.43,152.92,01/24/20,            76.37,94,90,1.12
1625929,Sungaipenuh,ID,-2.08,101.38,01/24/20,            63.86,98,100,1.83
933366,Maun,BW,-19.98,23.42,01/24/20,            75.2,73,75,3.36
1047660,Cuamba,MZ,-14.8,36.54,01/24/20,            67.1,92,80,5.79
1253914,Ujjain,IN,23.18,75.77,01/24/20,            56.35,49,0,5.28
2140466,Moindou,NC,-21.69,165.68,01/24/20,            78.8,69,0,12.75
2120048,Ust-Nera,RU,64.57,143.2,01/24/20,            -46.68,100,78,1.54
1024312,Mocuba,MZ,-16.84,36.99,01/24/20,            69.66,96,3,2.21
2428228,Massakory,TD,13,15.73,01/24/20,            65.03,10,0,13.58
3395458,Maragogi,BR,-9.01,-35.22,01/24/20,            82.02,76,100,13.58
1635164,Mlonggo,ID,-6.53,110.7,01/24/20,            84.56,70,100,8.03
1218436,Sayat,TM,38.78,63.88,01/24/20,            35.6,93,0,2.24
3843123,Neuquen,AR,-38.95,-68.06,01/24/20,            93.2,15,0,8.05
2444995,Filingue,NE,14.35,3.32,01/24/20,            76.05,9,59,10.74
2455735,Kangaba,ML,11.93,-8.42,01/24/20,            81.75,8,100,6.31
3984997,San Quintin,MX,30.48,-115.95,01/24/20,            63.32,69,100,7.76
3463140,Formosa,BR,-15.54,-47.33,01/24/20,            66.24,95,100,11.48
2018888,Novopokrovka,RU,45.85,134.51,01/24/20,            -13.85,92,0,3.04
3465329,Coruripe,BR,-10.13,-36.18,01/24/20,            81.32,78,86,19.89
3881102,Machali,CL,-34.18,-70.67,01/24/20,            89.6,31,0,10.29
2018735,Nyurba,RU,63.28,118.33,01/24/20,            -29.76,95,99,6.71
1054463,Tsiroanomandidy,MG,-18.77,46.03,01/24/20,            70.38,90,100,2.8
1162862,Uthal,PK,25.81,66.62,01/24/20,            66.15,47,0,4.32
3389822,Salinopolis,BR,-0.61,-47.36,01/24/20,            82.45,82,89,16.89
921900,Dzaoudzi,YT,-12.79,45.27,01/24/20,            78.8,88,100,12.75
1168749,Nushki,PK,29.55,66.02,01/24/20,            53.51,68,69,9.04
2016910,Severobaykalsk,RU,55.65,109.32,01/24/20,            12.85,92,100,5.55
1167064,Rasulnagar,PK,32.33,73.78,01/24/20,            50,81,40,4.7
1643920,Gombong,ID,-7.61,109.51,01/24/20,            75.4,93,100,1.36
3401845,Conceicao do Araguaia,BR,-8.26,-49.26,01/24/20,            78.8,92,100,1.86
5975004,High Level,CA,58.52,-117.14,01/24/20,            19.4,92,90,3.36
5977783,Houston,CA,54.4,-126.67,01/24/20,            37.4,86,40,8.05
300075,Suruc,TR,36.98,38.42,01/24/20,            32,42,0,16.11
2015913,Suntar,RU,62.14,117.63,01/24/20,            -16.51,97,94,5.12
